AA,Cn,DFG,E1,E2,FA,Fru,Glu,Gly,MG,Man,Mel,_1DG,_3DG,Time
0.2902471677560692,0.6798938608518822,7.313138882863534,0.13276900236131564,0.39564561927479247,0.033947122291505955,0.018948442961171562,0.055023107851085114,1.1535183326833265,0.03202829226376649,0.03446146066010811,0.004928162817024836,0.042269492362094846,0.030755970212988055,5.64
0.29116238984855936,0.6809202191247845,7.310448142881249,0.13283623792404728,0.39589221673168734,0.03406374378194001,0.019001476015903445,0.05517237160228283,1.1558685271365936,0.03213647699234621,0.03455507609125363,0.004954875326415486,0.042303464261656466,0.03082626340237176,5.65
0.29207842224066966,0.6819459662754267,7.307758392909105,0.1329031436135319,0.3961378385498025,0.03418054767148354,0.019054542049261325,0.05532170867459907,1.1582189423558245,0.032244824863301734,0.034648738192059256,0.004981682571728992,0.04233731198591578,0.030896530129523026,5.66
0.29299526247009716,0.6829711023853974,7.305069632582844,0.13296972035352936,0.39638248708537543,0.03429753385570528,0.019107640930636775,0.05547111869409077,1.160569575280328,0.032353335779467154,0.03474244672917013,0.005008584697916257,0.042371035828794285,0.030966770165715404,5.67
0.2939129080803106,0.6839956275362086,7.302381861538343,0.13303596906538112,0.3966261646893178,0.03441470223012557,0.019160772529733923,0.0556206012878515,1.1629204228572174,0.03246200964368917,0.034836201469877266,0.0050355818497339255,0.042404636083410566,0.031036983283200585,5.68
0.29483135662053944,0.6850195418092969,7.299695079411612,0.13310189066801767,0.39686887370722934,0.034532052690216655,0.019213936716568607,0.05577015608400812,1.1652714820413894,0.03257084635882704,0.03493000218211556,0.00506267417174403,0.0424381130420786,0.03110716925520473,5.69
0.295750605645762,0.6860428452860252,7.297009285838798,0.13316748607796616,0.39711061647941204,0.034649585131402955,0.019267133361467563,0.05591978271171756,1.1676227497955032,0.032679845827752546,0.035023848634461736,0.005089861808313623,0.04247146699630603,0.03117732785592478,5.7
0.29667065271669457,0.6870655380476843,7.294324480456178,0.13323275620935796,0.39735139534088376,0.03476729944906143,0.0193203623350676,0.05606948080116354,1.1699742230899588,0.032789007953350026,0.03511774059613234,0.005117144903614438,0.042504698236792475,0.031247458860524813,5.71
0.2975914953997796,0.6880876201754942,7.291640662900165,0.13329770197393628,0.39759121262139246,0.03488519553852183,0.019373623508314775,0.05621924998355329,1.1723258989028769,0.03289833263851629,0.03521167783698164,0.005144523601622519,0.042537807053427794,0.03131756204513234,5.72
0.29851313126717444,0.6891090917506058,7.288957832807305,0.1333623242810637,0.39783007064542997,0.03500327329506704,0.01942691675246356,0.056369089891114284,1.174677774220077,0.03300781978616063,0.03530566012749965,0.0051719980461178705,0.042570793735290414,0.03138763718683466,5.73
0.2994355578967398,0.6901299528541018,7.2862759898142775,0.13342662403772979,0.39806797173224606,0.03512153261393332,0.019480241939076003,0.056519000157090896,1.1770298460350557,0.03311746929920474,0.03539968723881004,0.005199568380684088,0.04260365857064558,0.03145768406367514,5.74
0.3003587728720286,0.6911502035669994,7.283595133557897,0.13349060214855862,0.3983049181958623,0.035239973390310673,0.019533598940020935,0.05666898041574125,1.179382111348967,0.03322728108058275,0.03549375894266812,0.0052272347487080225,0.042636401846943665,0.03152770245464957,5.75
0.3012827737822742,0.6921698439702505,7.28091526367511,0.13355425951581648,0.39854091234508604,0.035358595519343124,0.019586987627473126,0.056819030302333845,1.181734567170601,0.03333725503324119,0.0355878750114588,0.0052549972933794015,0.042669023850818465,0.03159769213970251,5.76
0.30220755822237927,0.6931888741447441,7.278236379802998,0.1336175970394193,0.39877595648352454,0.03547739889612901,0.019640407873912448,0.056969149453144345,1.1840872105163613,0.03344739106013893,0.03568203521819454,0.005282856157690491,0.04270152486808549,0.031667652899723564,5.7700000000000005
0.30313312379290397,0.6942072941713069,7.2755584815787735,0.13368061561694036,0.39901005290959857,0.035596383415721286,0.019693859552123057,0.05711933750545222,1.1864400384102451,0.03355768906424715,0.03577623933651331,0.005310811484435715,0.04273390518374023,0.031737584516543724,5.78
0.30405946810005513,0.695225104130706,7.272881568639786,0.13374331614361776,0.3992432039165566,0.03571554897312783,0.01974734253519258,0.057269594097537575,1.188793047883822,0.033668148948549366,0.035870487140676574,0.005338863416211325,0.042766165081956485,0.03180748677293172,5.79
0.3049865887556743,0.6962423041036494,7.270205640623515,0.13380569951236207,0.39947541179248874,0.03583489546331176,0.019800856696511267,0.0574199188686778,1.1911462359762128,0.03377877061604137,0.03596477840556721,0.005367012095415025,0.042798304846084614,0.03187735945259033,5.8
0.3059144833772267,0.6972588941707879,7.267530697167575,0.1338677666137639,0.39970667882034067,0.035954422781191736,0.019854401909771186,0.057570311459144326,1.193499599734068,0.03388955396973121,0.0360591129066875,0.005395257664245623,0.042830324758649875,0.03194720234015267,5.8100000000000005
0.3068431495877893,0.6982748744127163,7.264856737909715,0.13392951833610145,0.39993700727792747,0.03607413082164221,0.019907978048965366,0.05772077151019934,1.1958531362115472,0.03400049891263912,0.036153490420157086,0.0054236002647026615,0.04286222510135066,0.03201701522117857,5.82
0.30777258501604005,0.6992902449099755,7.262183762487814,0.13399095556534812,0.4001663994379478,0.03619401947949379,0.019961584988387012,0.05787129866409251,1.1982068424702972,0.03411160534779757,0.036247910722710906,0.00545204003858608,0.04289400615505681,0.03208679788215087,5.83
0.3087027870079773,0.700305005719818,7.259511770539966,0.13405207910121963,0.40039485743530867,0.036314088646295095,0.020015222610497548,0.058021892600365756,1.20056071578782,0.03422287317924864,0.03634237361431582,0.005480577135678825,0.042925668613860817,0.03215655015375102,5.84
0.30963375339137694,0.7013191569378283,7.256840761704266,0.1341128898798388,0.4006223836190214,0.03643433821890116,0.02006889078505803,0.05817255293956364,1.2029147531048208,0.03433430230939884,0.03643687885818554,0.00550921169204581,0.042957212487036996,0.03222627179608184,5.8500000000000005
0.3105654818602095,0.7023326986483072,7.254170735618983,0.1341733887944534,0.4008489802688704,0.0365547680925583,0.02012258938593162,0.05832327932076244,1.2052689514701795,0.03444589264114903,0.036531426229078554,0.005537943847507538,0.04298863798321119,0.032295962591082694,5.86
0.3114979700619122,0.7033456309313085,7.251501691922528,0.13423357672086553,0.401074649635603,0.036675378161885056,0.020176318288700208,0.05847407139057357,1.2076233079778345,0.03455764407759242,0.03662601550644759,0.005566773743162102,0.04301994538499103,0.03236562232942161,5.87
