A,I1,I2,O,R,S,Time
0.32354638455656093,0.00033017313941700996,0.6759540871378418,6.05089332369292e-05,0.00010865736936086626,1.8886358473216098e-07,5.24
0.32354638609483244,0.0003277418640322761,0.6759566668706969,6.0506148244975574e-05,0.00010851016754962904,1.8885464607979817e-07,5.25
0.3235463880631485,0.00032533047953418567,0.6759592250552361,6.050338612079299e-05,0.00010836417018189385,1.8884578084069462e-07,5.26
0.3235463904466526,0.0003229388231907444,0.6759617618790953,6.050064667516781e-05,0.0001082193674000413,1.8883698840696814e-07,5.2700000000000005
0.3235463932309004,0.00032056673360129564,0.6759642775280846,6.0497929720488835e-05,0.00010807574942719578,1.888282681758961e-07,5.28
0.32354639640184846,0.00031821405068562766,0.6759667721862113,6.0495235070732874e-05,0.0001079333065665624,1.8881961954986829e-07,5.29
0.32354639994584417,0.00031588061567317205,0.6759692460357007,6.049256254145032e-05,0.00010779202920076943,1.8881104193634047e-07,5.3
0.3235464038496152,0.00031356627109228896,0.675971699257019,6.0489911949751e-05,0.00010765190779121618,1.8880253474778838e-07,5.3100000000000005
0.32354640810025964,0.0003112708607596416,0.6759741320288939,6.0487283114290114e-05,0.00010751293287742633,1.8879409740166233e-07,5.32
0.3235464126852362,0.0003089942297696555,0.6759765445283354,6.048467585525434e-05,0.00010737509507640647,1.8878572932034212e-07,5.33
0.32354641759235475,0.00030673622448406567,0.6759789369306571,6.048208999434804e-05,0.0001072383850820101,1.8877742993109262e-07,5.34
0.32354642280976714,0.0003044966925215488,0.6759813094094957,6.0479525354779687e-05,0.0001071027936643068,1.8876919866601964e-07,5.3500000000000005
0.3235464283259581,0.0003022754827474408,0.6759836621368315,6.0476981761248424e-05,0.00010696831166895664,1.8876103496202635e-07,5.36
0.32354643412973644,0.00030007244526353657,0.6759859952830074,6.047445903993067e-05,0.00010683493001658978,1.8875293826077014e-07,5.37
0.32354644021022666,0.00029788743139797565,0.6759883090167488,6.047195701846696e-05,0.00010670263970219112,1.8874490800862007e-07,5.38
0.3235464465568606,0.00029572029369520907,0.6759906035051821,6.046947552594889e-05,0.00010657143179449012,1.887369436566145e-07,5.39
0.32354645315936914,0.00029357088590604866,0.6759928789138538,6.0467014392906194e-05,0.00010644129743535561,1.8872904466041938e-07,5.4
0.32354646000777454,0.00029143906297779843,0.6759951354067486,6.046457345129397e-05,0.00010631222783919568,1.887212104802869e-07,5.41
0.32354646709238266,0.00028932468104446495,0.6759973731463074,6.0462152534480006e-05,0.00010618421429236238,1.8871344058101448e-07,5.42
0.32354647440377543,0.00028722759741704973,0.6759995922934452,6.045975147723225e-05,0.00010605724815256145,1.8870573443190439e-07,5.43
0.32354648193280355,0.0002851476705739199,0.6760017930075689,6.045737011570644e-05,0.00010593132084826691,1.886980915067236e-07,5.44
0.32354648967057936,0.00028308476015125836,0.6760039754465944,6.045500828743377e-05,0.00010580642387814046,1.8869051128366409e-07,5.45
0.32354649760847015,0.00028103872693359107,0.6760061397669631,6.04526658313088e-05,0.00010568254881045561,1.8868299324530362e-07,5.46
0.32354650573809113,0.00027900943284439264,0.6760082861236594,6.045034258757741e-05,0.00010555968728252674,1.8867553687856682e-07,5.47
