DUSP,cFOS,cFOSm,cFOSp,pRSKn,pcFOS,ppERKc,ppERKn,x1,x2,Time
0.9459410244254375,0.02335950345956141,0.08381568312795872,0.10217972828775831,0.06772103251150417,0.0022916445099774824,0.9004170021348668,0.2135552202131233,0.9371031372852885,0.0366861351504217,6.03
0.9480765932246026,0.023519458706620207,0.08426012391896881,0.10248865818001159,0.06783292390353654,0.0023134613817709375,0.9008537763411867,0.2135584743646239,0.9376003624161694,0.036746586074982726,6.04
0.9502121926109618,0.023680111154220192,0.08470575291871241,0.10279742252056318,0.0679446506406735,0.002335435027850993,0.9012889348373648,0.2135613379853859,0.9380959705561822,0.036807035718817396,6.05
0.9523478186891966,0.02384146156249386,0.08515256834247041,0.10310601846902756,0.06805621258047263,0.0023575661557223215,0.9017224828818763,0.21356381307167585,0.9385899669638291,0.036867484081952846,6.0600000000000005
0.9544834675839066,0.024003510683325974,0.08560056839278883,0.10341444319872711,0.06816760958269538,0.0023798554734888915,0.9021544257160954,0.21356590161097241,0.9390823568805116,0.03692793116441619,6.07
0.9566191354395228,0.024166259260351566,0.0860497512595577,0.10372269389669318,0.06827884150929503,0.002402303689842735,0.9025847685643512,0.21356760558200094,0.9395731455305858,0.03698837696623458,6.08
0.95875481842022,0.024329708028953987,0.08650011512008958,0.10403076776366643,0.06838990822440465,0.002424911514052696,0.9030135166339831,0.21356892695476812,0.9400623381214183,0.037048821487435143,6.09
0.9608905127098296,0.02449385771626335,0.08695165813919818,0.10433866201409668,0.06850080959432513,0.0024476796559531866,0.903440675115396,0.21356986769059644,0.940549939843441,0.03710926472804501,6.1000000000000005
0.9630262145117523,0.024658709041155087,0.08740437846927673,0.10464637387614209,0.06861154548751329,0.002470608825932935,0.9038662491821152,0.21357042974215865,0.9410359558702065,0.0371697066880913,6.11
0.965161920048873,0.024824262714248892,0.0878582742503767,0.10495390059166802,0.06872211577457005,0.0024936997349237476,0.9042902439908416,0.21357061505351196,0.9415203913584428,0.03723014736760116,6.12
0.9672976255634743,0.024990519437907775,0.08831334361028596,0.10526123941624504,0.06883252032822855,0.002516953094389258,0.9047126646815062,0.2135704255601324,0.9420032514481079,0.03729058676660171,6.13
0.9694333273171508,0.025157479906237422,0.08876958466460719,0.10556838761914668,0.06894275902334246,0.0025403696163136817,0.9051335163773249,0.21356986318894877,0.942484541262445,0.03735102488512009,6.140000000000001
0.9715690215907232,0.025325144805085714,0.08922699551683591,0.10587534248334626,0.06905283173687424,0.002563950013190565,0.9055528041848522,0.21356892985837672,0.9429642659080356,0.03741146172318342,6.15
0.9737047046841545,0.025493514812042622,0.08968557425843891,0.10618210130551374,0.06916273834788352,0.0025876949980115525,0.9059705331940364,0.2135676274783527,0.9434424304748552,0.03747189728081883,6.16
0.9758403729164646,0.025662590596440195,0.09014531896893214,0.1064886613960115,0.06927247873751548,0.0026116052842551363,0.9063867084782726,0.2135659579503677,0.9439190400363261,0.037532331558053446,6.17
0.9779760226256465,0.025832372819352845,0.09060622771595872,0.1067950200788899,0.0693820527889893,0.002635681585875419,0.9068013350944575,0.213563923167501,0.9443940996493718,0.03759276455491439,6.18
0.9801116501685819,0.026002862133597857,0.09106829855536687,0.10710117469188228,0.06949146038758672,0.0026599246172908774,0.9072144180830418,0.21356152501445377,0.9448676143544706,0.03765319627142881,6.19
0.9822472519209573,0.026174059183736078,0.09153152953128757,0.1074071225863993,0.06960070142064044,0.00268433509337312,0.907625962468085,0.2135587653675827,0.9453395891757088,0.03771362670762381,6.2
0.9843828242771818,0.02634596460607296,0.0919959186762125,0.10771286112752305,0.06970977577752294,0.002708913729435667,0.9080359732573079,0.2135556460949332,0.9458100291208345,0.037774055863526515,6.21
0.9865183636503034,0.026518579028659672,0.09246146401107154,0.1080183876940004,0.06981868334963494,0.002733661241222716,0.9084444554421461,0.2135521690562729,0.9462789391813102,0.03783448373916406,6.22
0.9886538664719268,0.02669190307129457,0.09292816354531033,0.10832369967823599,0.06992742403039424,0.00275857834489792,0.9088514139978028,0.21354833610312482,0.9467463243323664,0.03789491033456356,6.23
0.9907893291921298,0.026865937345524744,0.09339601527696757,0.10862879448628458,0.0700359977152244,0.00278366575703316,0.9092568538833012,0.2135441490788005,0.9472121895330534,0.03795533564975214,6.24
0.9929247482793835,0.027040682454647982,0.09386501719275255,0.10893366953784324,0.07014440430154356,0.0028089241945973425,0.9096607800415383,0.213539609818433,0.9476765397262952,0.03801575968475693,6.25
0.9950601202204692,0.02721613899371479,0.09433516726812222,0.10923832226624268,0.07025264368875332,0.002834354374945182,0.9100631973993356,0.2135347201490098,0.9481393798389407,0.03807618243960505,6.26
0.9971954415203975,0.0273923075495307,0.09480646346735841,0.10954275011843838,0.07036071577822763,0.002859957015805999,0.9104641108674932,0.21352948188940563,0.9486007147818168,0.038136603914323615,6.2700000000000005
0.9993307087023271,0.027569188700658758,0.09527890374364469,0.10984695055500099,0.07046862047330169,0.0028857328352725146,0.9108635253408406,0.21352389685041526,0.9490605494497804,0.03819702410893975,6.28
1.0014659183074845,0.027746783017422318,0.09575248603914346,0.11015092105010665,0.07057635767926104,0.0029116825517896683,0.9112614456982892,0.21351796683478608,0.9495188887217697,0.038257443023480574,6.29
1.0036010668950839,0.027925091061907947,0.09622720828507263,0.11045465909152644,0.07068392730333059,0.002937806884143426,0.9116578768028838,0.21351169363725062,0.949975737460857,0.03831786065797321,6.3
1.0057361510422467,0.028104113387968616,0.09670306840178232,0.11075816218061565,0.07079132925466368,0.0029641065514496023,0.9120528235018546,0.2135050790445589,0.9504311005142994,0.03837827701244479,6.3100000000000005
1.0078711673439216,0.028283850541227003,0.0971800642988313,0.11106142783230248,0.07089856344433125,0.0029905822731426815,0.9124462906266682,0.2134981248355109,0.9508849827135906,0.03843869208692241,6.32
1.0100061124128061,0.0284643030590792,0.09765819387506366,0.11136445357507634,0.07100562978531104,0.0030172347689646647,0.912838282993079,0.21349083278098868,0.9513373888745122,0.038499105881433196,6.33
1.0121409828792671,0.028645471470698423,0.09813745501868495,0.11166723695097569,0.07111252819247683,0.0030440647589539053,0.9132288054011808,0.21348320464398854,0.951788323797185,0.038559518396004265,6.34
1.0142757753912623,0.028827356297039062,0.09861784560733848,0.11196977551557556,0.07121925858258779,0.0030710729634339648,0.9136178626354566,0.21347524217965302,0.9522377922661194,0.03861992963066274,6.3500000000000005
1.0164104866142611,0.02900995805084083,0.09909936350818119,0.1122720668379743,0.0713258208742777,0.003098260103002462,0.9140054594648304,0.21346694713530281,0.9526857990502661,0.038680339585435736,6.36
1.0185451132311676,0.02919327723663328,0.09958200657795986,0.11257410850078045,0.07143221498804447,0.0031256268985199575,0.9143916006427172,0.2134583212504686,0.9531323489030675,0.038740748260350365,6.37
1.020679651942242,0.029377314350740365,0.10006577266308678,0.11287589810009867,0.0715384408462395,0.0031531740710988225,0.9147762909070739,0.21344936625692276,0.9535774465625076,0.03880115565543374,6.38
1.0228140994650246,0.029562069881285312,0.10055065959971549,0.11317743324551557,0.0716444983730572,0.00318090234209213,0.9151595349804493,0.213440083878711,0.9540210967511623,0.03886156177071299,6.390000000000001
1.024948452534256,0.029747544308195567,0.10103666521381613,0.11347871156008503,0.07175038749452445,0.003208812433082544,0.9155413375700342,0.2134304758321839,0.9544633041762494,0.03892196660621521,6.4
1.0270827079018034,0.029933738103208145,0.1015237873212512,0.1137797306803131,0.0718561081384903,0.0032369050658712403,0.9159217033677113,0.21342054382602832,0.9549040735296788,0.038982370161967525,6.41
1.029216862336582,0.03012065172987499,0.10201202372785058,0.11408048825614255,0.07196166023461553,0.0032651809624668162,0.9163006370501051,0.2134102895612986,0.9553434094881021,0.039042772437997045,6.42
1.0313509126244798,0.03030828564356861,0.10250137222948676,0.11438098195093704,0.07206704371436232,0.003293640845074223,0.9166781432786317,0.21339971473144792,0.9557813167129626,0.03910317343433088,6.43
