G,Ii,Ip,x1,x2,x3,Time
12143.61426789359,241.65281017526505,88.81348569631184,107.2480744070666,112.11450783928956,105.874533919041,2.14
12142.708235647,241.64391138994372,88.7928652136718,107.23271005900705,112.11044776763086,105.87973004067919,2.15
12141.802438987523,241.6350013691709,88.77225107399708,107.21734133530177,112.10637827784254,105.88491844811261,2.16
12140.89687808724,241.62608012034192,88.751643281355,107.20196824488092,112.10229937412863,105.89009913992366,2.17
12139.991553117989,241.61714765085273,88.73104183980192,107.18659079667059,112.09821106069711,105.89527211469944,2.18
12139.086464251357,241.60820396809984,88.71044675338325,107.1712089995928,112.09411334175988,105.9004373710317,2.19
12138.181611658689,241.59924907948044,88.68985802613349,107.15582286256554,112.09000622153276,105.90559490751691,2.2
12137.276995511082,241.59028299239228,88.6692756620762,107.1404323945027,112.0858897042355,105.91074472275622,2.21
12136.372615979388,241.5813057142337,88.64869966522404,107.12503760431409,112.08176379409174,105.91588681535544,2.22
12135.468473234214,241.57231725240368,88.62813003957876,107.10963850090545,112.07762849532904,105.92102118392506,2.23
12134.564567445921,241.56331761430172,88.60756678913125,107.09423509317841,112.07348381217884,105.92614782708029,2.24
12133.660898784627,241.55430680732792,88.58700991786152,107.07882739003054,112.06932974887647,105.93126674344096,2.25
12132.757467420202,241.54528483888294,88.56645942973873,107.06341540035527,112.06516630966115,105.93637793163164,2.2600000000000002
12131.854273522276,241.53625171636799,88.54591532872118,107.04799913304194,112.06099349877597,105.94148139028154,2.27
12130.951317260233,241.52720744718482,88.52537761875637,107.0325785969758,112.05681132046789,105.94657711802455,2.2800000000000002
12130.048598803212,241.51815203873574,88.50484630378094,107.01715380103794,112.05261977898773,105.95166511349925,2.29
12129.14611832011,241.5090854984236,88.48432138772075,107.00172475410534,112.04841887859017,105.95674537534889,2.3000000000000003
12128.24387597958,241.50000783365175,88.4638028744909,106.98629146505088,112.04420862353373,105.9618179022214,2.31
12127.341871950033,241.4909190518241,88.44329076799563,106.97085394274329,112.03998901808079,105.96688269276939,2.32
12126.440106399634,241.48181916034505,88.42278507212849,106.95541219604713,112.03576006649755,105.97193974565013,2.33
12125.53857949631,241.4727081666195,88.40228579077224,106.93996623382287,112.03152177305402,105.97698905952556,2.34
12124.63729140774,241.46358607805283,88.38179292779888,106.92451606492679,112.02727414202408,105.98203063306232,2.35
12123.736242301367,241.45445290205097,88.36130648706973,106.90906169821102,112.02301717768539,105.9870644649317,2.36
12122.83543234439,241.4453086460203,88.34082647243535,106.89360314252352,112.01875088431942,105.99209055380967,2.37
12121.934861703761,241.43615331736763,88.32035288773562,106.87814040670811,112.01447526621145,105.99710889837688,2.38
12121.0345305462,241.4269869235003,88.29988573679972,106.86267349960441,112.01019032765056,106.00211949731862,2.39
12120.13443903818,241.4178094718261,88.27942502344615,106.84720243004789,112.00589607292962,106.00712234932487,2.4
12119.234587345934,241.4086209697533,88.25897075148275,106.8317272068698,112.00159250634526,106.01211745309028,2.41
12118.334975635456,241.39942142469053,88.23852292470671,106.81624783889724,111.99727963219792,106.01710480731417,2.42
12117.435604072498,241.39021084404695,88.21808154690457,106.80076433495309,111.99295745479178,106.02208441070051,2.43
12116.53647282257,241.3809892352321,88.19764662185226,106.78527670385603,111.9886259784348,106.02705626195798,2.44
12115.637582050947,241.37175660565597,88.17721815331507,106.76978495442054,111.98428520743867,106.03202035979986,2.45
12114.738931922662,241.36251296272897,88.15679614504771,106.75428909545691,111.97993514611888,106.03697670294414,2.46
12113.840522602508,241.35325831386191,88.13638060079428,106.73878913577119,111.9755757987946,106.04192529011348,2.47
12112.94235425504,241.34399266646602,88.11597152428833,106.7232850841652,111.97120716978877,106.04686612003516,2.48
12112.044427044571,241.3347160279529,88.09556891925283,106.70777694943656,111.96682926342807,106.05179919144116,2.49
12111.146741135182,241.32542840573456,88.07517278940018,106.69226474037865,111.96244208404286,106.05672450306812,2.5
12110.24929669071,241.31612980722338,88.0547831384323,106.6767484657806,111.95804563596727,106.06164205365734,2.5100000000000002
12109.352093874755,241.30682023983212,88.03439997004052,106.66122813442733,111.9536399235391,106.06655184195475,2.52
12108.455132850679,241.2974997109739,88.0140232879057,106.64570375509948,111.94922495109986,106.07145386671097,2.5300000000000002
12107.558413781608,241.28816822806223,87.99365309569818,106.63017533657343,111.94480072299478,106.07634812668127,2.54
12106.66193683043,241.27882579851095,87.97328939707782,106.61464288762134,111.94036724357275,106.08123462062558,2.5500000000000003
12105.765702159793,241.26947242973426,87.952932195694,106.5991064170111,111.93592451718635,106.08611334730848,2.56
12104.869709932114,241.2601081291467,87.93258149518564,106.5835659335063,111.93147254819183,106.09098430549923,2.57
12103.97396030957,241.2507329041631,87.91223729918121,106.5680214458663,111.92701134094914,106.09584749397172,2.58
12103.078453454098,241.24134676219867,87.89189961129875,106.55247296284614,111.92254089982184,106.10070291150448,2.59
12102.183189527404,241.23194971066894,87.87156843514587,106.5369204931966,111.9180612291772,106.10555055688076,2.6
12101.288168690959,241.2225417569897,87.85124377431977,106.52136404566417,111.91357233338611,106.11039042888838,2.61
12100.393391105992,241.21312290857708,87.83092563240724,106.50580362899105,111.90907421682311,106.11522252631987,2.62
12099.498856933504,241.20369317284752,87.81061401298471,106.49023925191511,111.9045668838664,106.12004684797239,2.63
12098.604566334256,241.19425255721774,87.79030891961823,106.47467092316997,111.90005033889774,106.12486339264774,2.64
12097.710519468774,241.1848010691047,87.77001035586345,106.4590986514849,111.8955245863026,106.12967215915239,2.65
12096.816716497353,241.17533871592573,87.74971832526573,106.44352244558486,111.89098963047,106.13447314629747,2.66
12095.92315758005,241.16586550509834,87.72943283136007,106.42794231419052,111.88644547579261,106.13926635289872,2.67
12095.02984287669,241.15638144404033,87.70915387767114,106.41235826601819,111.88189212666668,106.14405177777654,2.68
12094.136772546863,241.1468865401698,87.68888146771332,106.39677030977988,111.87732958749208,106.148829419756,2.69
12093.243946749926,241.13738080090502,87.66861560499066,106.38117845418324,111.87275786267224,106.15359927766679,2.7
12092.351365645001,241.12786423366458,87.64835629299698,106.36558270793161,111.8681769566142,106.15836135034324,2.71
12091.45902939098,241.11833684586725,87.62810353521577,106.34998307972396,111.86358687372858,106.16311563662434,2.72
12090.56693814652,241.10879864493205,87.6078573351203,106.33437957825491,111.85898761842952,106.16786213535373,2.73
12089.675092070042,241.09924963827822,87.58761769617358,106.31877221221477,111.8543791951348,106.17260084537966,2.74
12088.78349131974,241.08968983332522,87.5673846218284,106.30316099028943,111.84976160826568,106.17733176555507,2.75
12087.892136053575,241.0801192374927,87.5471581155273,106.28754592116046,111.84513486224704,106.18205489473748,2.7600000000000002
12087.001026429274,241.07053785820054,87.52693818070263,106.27192701350504,111.84049896150725,106.18677023178908,2.77
12086.110162604333,241.06094570286876,87.50672482077655,106.25630427599599,111.83585391047826,106.19147777557671,2.7800000000000002
12085.219544736015,241.05134277891764,87.48651803916104,106.24067771730175,111.83119971359552,106.19617752497184,2.79
12084.329172981357,241.04172909376757,87.4663178392579,106.22504734608637,111.82653637529802,106.20086947885056,2.8000000000000003
12083.439047497159,241.03210465483917,87.44612422445877,106.20941317100953,111.82186390002826,106.20555363609361,2.81
12082.549168439993,241.0224694695532,87.42593719814515,106.19377520072649,111.81718229223225,106.21022999558636,2.82
12081.6595359662,241.01282354533055,87.40575676368842,106.17813344388813,111.8124915563595,106.2148985562188,2.83
12080.770150231894,241.00316688959234,87.38558292444982,106.16248790914092,111.80779169686305,106.21955931688558,2.84
12079.881011392952,240.99349950975974,87.36541568378051,106.14683860512693,111.80308271819939,106.22421227648596,2.85
12078.992119605027,240.98382141325416,87.34525504502153,106.13118554048383,111.79836462482851,106.22885743392384,2.86
12078.103475023541,240.97413260749707,87.32510101150385,106.11552872384485,111.79363742121389,106.23349478810775,2.87
12077.215077803687,240.96443309991008,87.30495358654838,106.0998681638388,111.78890111182245,106.23812433795084,2.88
12076.326928100429,240.95472289791493,87.28481277346596,106.08420386909009,111.78415570112462,106.2427460823709,2.89
